parameter,value,price
sigma,0.1,5.016980606262415
sigma,0.15,6.9618416445541556
sigma,0.2,8.916037278572539
sigma,0.25,10.870558490557599
sigma,0.3,12.82158139269142
sigma,0.35,14.766783639426052
sigma,0.4,16.704417199646805
T,0.25,4.232159768068783
T,0.5,6.120654113455842
T,1.0,8.916037278572539
T,1.5,11.152926297207593
T,2.0,13.095657502907763
T,3.0,16.46004884384736
K,80.0,22.542853157065267
K,90.0,14.80650701571102
K,100.0,8.916037278572539
K,110.0,4.94386695723049
K,120.0,2.546926257627735
